FX,Time,Open,High,Low,Close,Volume
NZD_USD,2005-01-01,0.7186,0.7188,0.7181,0.7188,13
NZD_USD,2005-01-02,0.7178,0.7189,0.7101,0.7138,5534
NZD_USD,2005-01-03,0.7139,0.71555,0.7003,0.7024,9517
NZD_USD,2005-01-04,0.7028,0.7041,0.695,0.699,10250
NZD_USD,2005-01-05,0.6993,0.70155,0.6939,0.69755,8667
NZD_USD,2005-01-06,0.69765,0.7058,0.6921,0.6951,8282
NZD_USD,2005-01-08,0.6947,0.6951,0.6931,0.6947,129
NZD_USD,2005-01-09,0.6952,0.697,0.6927,0.6938,7085
NZD_USD,2005-01-10,0.6938,0.7013,0.6929,0.6973,8015
NZD_USD,2005-01-11,0.6973,0.7092,0.6932,0.7066,9647
NZD_USD,2005-01-12,0.7067,0.7078,0.7023,0.7047,7903
NZD_USD,2005-01-13,0.7046,0.7049,0.6964,0.6993,8479
NZD_USD,2005-01-15,0.6999,0.6999,0.6992,0.6994,20
NZD_USD,2005-01-16,0.6994,0.7011,0.6956,0.6962,5038
NZD_USD,2005-01-17,0.6961,0.6986,0.6904,0.6959,9696
NZD_USD,2005-01-18,0.6961,0.7063,0.6951,0.70175,11116
NZD_USD,2005-01-19,0.70185,0.7064,0.70025,0.7061,10182
NZD_USD,2005-01-20,0.706,0.715,0.704,0.7147,10045
NZD_USD,2005-01-21,0.7148,0.7148,0.7146,0.7147,70
NZD_USD,2005-01-22,0.7132,0.7136,0.7128,0.7132,36
NZD_USD,2005-01-23,0.7138,0.7165,0.7128,0.71425,6591
NZD_USD,2005-01-24,0.71435,0.7168,0.7084,0.7101,8937
NZD_USD,2005-01-25,0.7103,0.7193,0.7101,0.71605,9469
NZD_USD,2005-01-26,0.71625,0.7188,0.7127,0.7158,9677
NZD_USD,2005-01-27,0.7158,0.7178,0.7096,0.7128,9174
NZD_USD,2005-01-28,0.7127,0.7129,0.7127,0.7128,83
NZD_USD,2005-01-29,0.71,0.7108,0.7094,0.7106,136
NZD_USD,2005-01-30,0.7106,0.7146,0.70935,0.71065,8801
NZD_USD,2005-01-31,0.71065,0.71315,0.7091,0.71195,8065
NZD_USD,2005-02-01,0.71175,0.7149,0.70995,0.71395,8101
NZD_USD,2005-02-02,0.71375,0.7149,0.7077,0.7102,9340
NZD_USD,2005-02-03,0.7101,0.7157,0.7085,0.7104,9545
NZD_USD,2005-02-04,0.7103,0.7105,0.7103,0.7104,93
NZD_USD,2005-02-05,0.71,0.71,0.7086,0.7091,129
NZD_USD,2005-02-06,0.7091,0.7092,0.69975,0.69995,9551
NZD_USD,2005-02-07,0.69975,0.7041,0.6957,0.69925,8693
NZD_USD,2005-02-08,0.69935,0.70525,0.6969,0.70365,10686
NZD_USD,2005-02-09,0.70385,0.71265,0.70325,0.71155,11059
NZD_USD,2005-02-10,0.71145,0.715,0.7094,0.7141,11560
NZD_USD,2005-02-11,0.7141,0.7141,0.7141,0.7141,1
NZD_USD,2005-02-12,0.7137,0.7143,0.7129,0.7138,83
NZD_USD,2005-02-13,0.7139,0.7182,0.7121,0.7143,12981
NZD_USD,2005-02-14,0.7143,0.7177,0.7124,0.71595,13705
NZD_USD,2005-02-15,0.71605,0.7162,0.7099,0.7136,13689
NZD_USD,2005-02-16,0.7135,0.7199,0.7126,0.71755,10517
NZD_USD,2005-02-17,0.71755,0.7249,0.71615,0.7232,13612
NZD_USD,2005-02-19,0.7234,0.7242,0.7229,0.723,119
