FX,Time,Open,High,Low,Close,Volume
EUR_USD,2005-01-01,1.356,1.357,1.3541,1.35525,303
EUR_USD,2005-01-02,1.35535,1.35815,1.33855,1.3465,38042
EUR_USD,2005-01-03,1.3465,1.3496,1.32488,1.328005,42165
EUR_USD,2005-01-04,1.327905,1.33028,1.32152,1.326085,40233
EUR_USD,2005-01-05,1.326085,1.32826,1.31562,1.317325,38037
EUR_USD,2005-01-06,1.317225,1.32508,1.30248,1.3054,37339
EUR_USD,2005-01-08,1.3052,1.3063,1.3049,1.3062,185
EUR_USD,2005-01-09,1.306,1.31238,1.3052,1.307325,34912
EUR_USD,2005-01-10,1.307425,1.31718,1.30672,1.310675,36616
EUR_USD,2005-01-11,1.310775,1.32935,1.30832,1.325525,36713
EUR_USD,2005-01-12,1.325625,1.32668,1.31932,1.322605,35692
EUR_USD,2005-01-13,1.322405,1.3225,1.30576,1.3111,47348
EUR_USD,2005-01-15,1.3106,1.3108,1.3097,1.3105,787
EUR_USD,2005-01-16,1.3105,1.3128,1.30612,1.306725,24472
EUR_USD,2005-01-17,1.306725,1.30748,1.29954,1.301875,38846
EUR_USD,2005-01-18,1.301775,1.31186,1.29636,1.301075,39297
EUR_USD,2005-01-19,1.301075,1.30235,1.29198,1.296405,39082
EUR_USD,2005-01-20,1.296305,1.30688,1.2934,1.3039,36972
EUR_USD,2005-01-21,1.3037,1.3037,1.3037,1.3037,2
EUR_USD,2005-01-22,1.3042,1.3054,1.3037,1.3041,443
EUR_USD,2005-01-23,1.3042,1.30998,1.30282,1.306025,35263
EUR_USD,2005-01-24,1.306025,1.30756,1.29438,1.297475,39719
EUR_USD,2005-01-25,1.297575,1.3109,1.2966,1.307145,35596
EUR_USD,2005-01-26,1.307245,1.31238,1.30124,1.304575,36238
EUR_USD,2005-01-27,1.304375,1.30798,1.29848,1.3037,33890
EUR_USD,2005-01-29,1.3029,1.3037,1.3029,1.3032,176
EUR_USD,2005-01-30,1.3032,1.3058,1.29754,1.303855,34938
EUR_USD,2005-01-31,1.303855,1.30668,1.30014,1.304575,35536
EUR_USD,2005-02-01,1.304675,1.30938,1.30102,1.302705,35680
EUR_USD,2005-02-02,1.302805,1.3038,1.29414,1.297505,30838
EUR_USD,2005-02-03,1.297405,1.30435,1.2865,1.2869,32592
EUR_USD,2005-02-04,1.2868,1.287,1.275,1.275,90
EUR_USD,2005-02-05,1.28705,1.28735,1.2857,1.286,499
EUR_USD,2005-02-06,1.2861,1.28642,1.27332,1.275735,34636
EUR_USD,2005-02-07,1.275735,1.27976,1.27342,1.276205,32491
EUR_USD,2005-02-08,1.276205,1.28118,1.27402,1.280585,33427
EUR_USD,2005-02-09,1.280485,1.2905,1.2741,1.287505,32834
EUR_USD,2005-02-10,1.287505,1.2896,1.28472,1.2866,27373
EUR_USD,2005-02-11,1.2866,1.2866,1.2866,1.2866,1
EUR_USD,2005-02-12,1.28725,1.2879,1.28675,1.2878,160
EUR_USD,2005-02-13,1.2878,1.29898,1.2878,1.297605,30568
EUR_USD,2005-02-14,1.297605,1.3051,1.2955,1.302585,34574
EUR_USD,2005-02-15,1.302585,1.30626,1.2962,1.303005,35378
EUR_USD,2005-02-16,1.303005,1.30884,1.30138,1.307235,34276
EUR_USD,2005-02-17,1.307235,1.30818,1.30173,1.3072,27755
EUR_USD,2005-02-19,1.3068,1.30735,1.3046,1.3047,368
EUR_USD,2005-02-20,1.3047,1.30788,1.30322,1.306775,17949
EUR_USD,2005-02-21,1.306775,1.32616,1.30556,1.325955,35604
EUR_USD,2005-02-22,1.325955,1.32732,1.3186,1.321545,34622
EUR_USD,2005-02-23,1.321545,1.32696,1.31768,1.319835,35835
EUR_USD,2005-02-24,1.319835,1.32483,1.3146,1.32453,34013
EUR_USD,2005-02-25,1.32453,1.32453,1.32453,1.32453,1
EUR_USD,2005-02-26,1.32433,1.32433,1.32388,1.32413,119
EUR_USD,2005-02-27,1.32413,1.3279,1.32226,1.322855,33787
EUR_USD,2005-02-28,1.322955,1.32324,1.31706,1.318835,33444
EUR_USD,2005-03-01,1.318835,1.31884,1.30894,1.314135,34016
EUR_USD,2005-03-02,1.314135,1.31638,1.30984,1.311085,31779
EUR_USD,2005-03-03,1.311085,1.32544,1.30911,1.3236,28856
EUR_USD,2005-03-04,1.3236,1.3236,1.3236,1.3236,1
EUR_USD,2005-03-05,1.3237,1.3242,1.3232,1.3236,148
EUR_USD,2005-03-06,1.3236,1.32468,1.31804,1.321425,29002
EUR_USD,2005-03-07,1.321525,1.3361,1.32082,1.334435,31227
EUR_USD,2005-03-08,1.334435,1.3423,1.33314,1.339255,33807
EUR_USD,2005-03-09,1.339255,1.34538,1.33716,1.342005,38690
EUR_USD,2005-03-10,1.342005,1.34806,1.33942,1.3457,29155
EUR_USD,2005-03-12,1.34625,1.34655,1.34455,1.3461,184
EUR_USD,2005-03-13,1.3462,1.3478,1.33356,1.336905,32092
EUR_USD,2005-03-14,1.337005,1.34104,1.32976,1.330545,32520
EUR_USD,2005-03-15,1.330545,1.3439,1.32924,1.341645,33707
EUR_USD,2005-03-16,1.341645,1.34214,1.33432,1.337835,33253
EUR_USD,2005-03-17,1.337835,1.33864,1.32652,1.3325,29860
EUR_USD,2005-03-19,1.33275,1.33275,1.3311,1.3313,202
EUR_USD,2005-03-20,1.3313,1.3317,1.3142,1.315725,33031
EUR_USD,2005-03-21,1.315825,1.32231,1.30548,1.308725,34020
EUR_USD,2005-03-22,1.308825,1.30882,1.2963,1.298605,37066
EUR_USD,2005-03-23,1.298605,1.30326,1.2936,1.294005,32096
EUR_USD,2005-03-24,1.294005,1.29684,1.29296,1.29575,3941
EUR_USD,2005-03-26,1.2952,1.29635,1.2952,1.2963,274
EUR_USD,2005-03-27,1.2963,1.2963,1.2858,1.289775,14239
EUR_USD,2005-03-28,1.289775,1.29572,1.2879,1.292175,33739
EUR_USD,2005-03-29,1.292075,1.29838,1.29122,1.291525,36971
EUR_USD,2005-03-30,1.291525,1.3018,1.29122,1.296305,36787
EUR_USD,2005-03-31,1.296305,1.30582,1.2871,1.2913,33655
EUR_USD,2005-04-02,1.29085,1.29085,1.28935,1.28935,66
EUR_USD,2005-04-03,1.28935,1.29048,1.28186,1.284755,33917
EUR_USD,2005-04-04,1.284755,1.28774,1.28012,1.286955,31639
EUR_USD,2005-04-05,1.286855,1.29098,1.28398,1.287105,32497
EUR_USD,2005-04-06,1.287205,1.29392,1.2847,1.285605,34990
EUR_USD,2005-04-07,1.285605,1.2934,1.28092,1.2933,31930
EUR_USD,2005-04-08,1.2933,1.2933,1.2933,1.2933,1
EUR_USD,2005-04-09,1.29235,1.29355,1.29195,1.29325,185
EUR_USD,2005-04-10,1.29325,1.30036,1.2908,1.297325,31006
EUR_USD,2005-04-11,1.297225,1.30157,1.28636,1.292165,34915
EUR_USD,2005-04-12,1.292065,1.29542,1.28496,1.291385,33639
EUR_USD,2005-04-13,1.291485,1.29198,1.27666,1.281175,35577
EUR_USD,2005-04-14,1.281175,1.29398,1.27798,1.2922,34034
EUR_USD,2005-04-16,1.29105,1.29175,1.29045,1.29125,180
EUR_USD,2005-04-17,1.2913,1.3044,1.28776,1.302405,35425
EUR_USD,2005-04-18,1.302405,1.3077,1.29828,1.306375,35120
EUR_USD,2005-04-19,1.306275,1.3103,1.29924,1.308605,34507
EUR_USD,2005-04-20,1.308605,1.3125,1.3026,1.304805,35865
EUR_USD,2005-04-21,1.305005,1.3094,1.3022,1.3065,32507
EUR_USD,2005-04-22,1.3064,1.3064,1.3064,1.3064,2
EUR_USD,2005-04-23,1.3067,1.30775,1.30635,1.30645,340
EUR_USD,2005-04-24,1.30655,1.307,1.29554,1.300705,33776
EUR_USD,2005-04-25,1.300605,1.30144,1.29454,1.298505,32745
EUR_USD,2005-04-26,1.298605,1.2994,1.29054,1.293105,34467
EUR_USD,2005-04-27,1.293105,1.29425,1.2883,1.289305,35905
EUR_USD,2005-04-28,1.289205,1.29798,1.2854,1.2872,36658
EUR_USD,2005-04-30,1.2868,1.2868,1.2853,1.2862,170
EUR_USD,2005-05-01,1.2862,1.28748,1.28377,1.2864,11726
EUR_USD,2005-05-02,1.2864,1.2916,1.2831,1.287205,31522
EUR_USD,2005-05-03,1.287205,1.2974,1.2868,1.294605,34548
EUR_USD,2005-05-04,1.294705,1.29892,1.2927,1.295705,33636
EUR_USD,2005-05-05,1.295805,1.29638,1.2811,1.2819,29186
EUR_USD,2005-05-06,1.2819,1.2819,1.2819,1.2819,2
EUR_USD,2005-05-07,1.28165,1.28185,1.28125,1.28175,203
EUR_USD,2005-05-08,1.28175,1.28468,1.279,1.284175,31363
EUR_USD,2005-05-09,1.284275,1.289,1.28168,1.288025,31056
EUR_USD,2005-05-10,1.288025,1.29122,1.27774,1.281605,30805
EUR_USD,2005-05-11,1.281505,1.2816,1.2685,1.269405,26651
EUR_USD,2005-05-12,1.269405,1.26966,1.261,1.2633,23914
EUR_USD,2005-05-13,1.2633,1.2633,1.2633,1.2633,1
EUR_USD,2005-05-14,1.2626,1.2632,1.2607,1.2629,535
EUR_USD,2005-05-15,1.263,1.26514,1.25815,1.264135,30732
EUR_USD,2005-05-16,1.264235,1.26638,1.2596,1.260605,32176
EUR_USD,2005-05-17,1.260605,1.2689,1.25856,1.267805,30847
EUR_USD,2005-05-18,1.267805,1.2691,1.2604,1.264405,24942
EUR_USD,2005-05-19,1.264405,1.26542,1.2536,1.2559,26779
EUR_USD,2005-05-20,1.2557,1.2557,1.2557,1.2557,1
EUR_USD,2005-05-21,1.2554,1.257,1.2543,1.25515,485
EUR_USD,2005-05-22,1.25515,1.25978,1.25362,1.257785,30365
EUR_USD,2005-05-23,1.257885,1.26272,1.25568,1.258405,34151
EUR_USD,2005-05-24,1.258405,1.26192,1.25518,1.260075,32643
EUR_USD,2005-05-25,1.260075,1.26136,1.2496,1.251405,32647
EUR_USD,2005-05-26,1.251405,1.2588,1.25072,1.2585,28101
EUR_USD,2005-05-27,1.2584,1.2585,1.2584,1.2585,4
EUR_USD,2005-05-28,1.2583,1.2583,1.2509,1.2524,1185
EUR_USD,2005-05-29,1.2525,1.2546,1.24658,1.247575,19143
EUR_USD,2005-05-30,1.247575,1.24868,1.22964,1.230335,36785
EUR_USD,2005-05-31,1.230335,1.23408,1.2161,1.218005,31757
EUR_USD,2005-06-01,1.218005,1.2297,1.2179,1.226605,37912
EUR_USD,2005-06-02,1.226705,1.2341,1.2205,1.2236,25540
EUR_USD,2005-06-03,1.2236,1.2236,1.2236,1.2236,1
EUR_USD,2005-06-04,1.2231,1.2237,1.2213,1.2225,198
EUR_USD,2005-06-05,1.2225,1.22928,1.2217,1.225945,30134
EUR_USD,2005-06-06,1.225945,1.23148,1.2239,1.228475,31169
EUR_USD,2005-06-07,1.228575,1.23526,1.22064,1.223325,35652
EUR_USD,2005-06-08,1.223325,1.2256,1.2178,1.223005,35576
EUR_USD,2005-06-09,1.223105,1.2248,1.2108,1.2119,35023
EUR_USD,2005-06-10,1.2118,1.21205,1.2118,1.21205,16
EUR_USD,2005-06-11,1.21255,1.21255,1.2103,1.2111,606
EUR_USD,2005-06-12,1.2111,1.2121,1.20292,1.210775,36223
EUR_USD,2005-06-13,1.210975,1.21518,1.20228,1.203175,37173
EUR_USD,2005-06-14,1.203375,1.21328,1.20172,1.211475,37175
EUR_USD,2005-06-15,1.211475,1.21692,1.20575,1.210755,37765
EUR_USD,2005-06-16,1.210755,1.2289,1.20916,1.2286,37236
EUR_USD,2005-06-17,1.228,1.2285,1.228,1.228,4
EUR_USD,2005-06-18,1.2278,1.2285,1.2216,1.2222,465
EUR_USD,2005-06-19,1.2222,1.22398,1.2126,1.215525,35056
EUR_USD,2005-06-20,1.215325,1.2186,1.2071,1.218205,38169
EUR_USD,2005-06-21,1.218305,1.2205,1.20986,1.212705,37510
EUR_USD,2005-06-22,1.212705,1.2144,1.20188,1.203825,37551
EUR_USD,2005-06-23,1.203825,1.2108,1.1983,1.2091,38213
EUR_USD,2005-06-24,1.209,1.209,1.209,1.209,1
EUR_USD,2005-06-25,1.2088,1.20965,1.20815,1.20915,479
EUR_USD,2005-06-26,1.20915,1.21858,1.2091,1.216205,36036
EUR_USD,2005-06-27,1.216205,1.2174,1.2051,1.205305,39303
EUR_USD,2005-06-28,1.205305,1.21118,1.20152,1.206925,45885
EUR_USD,2005-06-29,1.206925,1.21208,1.20438,1.210805,41420
EUR_USD,2005-06-30,1.210805,1.2108,1.1939,1.1958,35367
EUR_USD,2005-07-02,1.1957,1.19665,1.19385,1.19425,572
EUR_USD,2005-07-03,1.19425,1.19492,1.18888,1.19007,27731
EUR_USD,2005-07-04,1.19017,1.19392,1.18692,1.191205,38202
EUR_USD,2005-07-05,1.191305,1.19538,1.18928,1.193275,35314
EUR_USD,2005-07-06,1.193275,1.20422,1.191,1.19516,28290
EUR_USD,2005-07-07,1.19526,1.19866,1.1874,1.1966,40348
EUR_USD,2005-07-09,1.1968,1.19765,1.19645,1.19705,544
EUR_USD,2005-07-10,1.19705,1.2086,1.1958,1.207225,40993
EUR_USD,2005-07-11,1.207225,1.2255,1.2054,1.224155,50811
EUR_USD,2005-07-12,1.224155,1.22446,1.20726,1.209375,36836
EUR_USD,2005-07-13,1.209475,1.21242,1.20574,1.208425,36755
EUR_USD,2005-07-14,1.208425,1.21368,1.2023,1.2035,33503
EUR_USD,2005-07-15,1.2035,1.2035,1.2035,1.2035,1
EUR_USD,2005-07-16,1.2036,1.20425,1.20295,1.20295,179
EUR_USD,2005-07-17,1.20295,1.20892,1.20215,1.205025,31612
EUR_USD,2005-07-18,1.205225,1.20674,1.19538,1.203375,36046
EUR_USD,2005-07-19,1.203375,1.21865,1.1997,1.213925,40192
EUR_USD,2005-07-20,1.214025,1.2255,1.20989,1.217255,44513
EUR_USD,2005-07-21,1.217255,1.21888,1.20554,1.2065,39860
EUR_USD,2005-07-23,1.2068,1.2068,1.2062,1.2064,6
EUR_USD,2005-07-24,1.2067,1.20872,1.20275,1.205975,34779
EUR_USD,2005-07-25,1.205975,1.2069,1.19818,1.201425,37950
EUR_USD,2005-07-26,1.201425,1.20838,1.1965,1.206555,37266
EUR_USD,2005-07-27,1.206555,1.21482,1.20368,1.213875,38000
EUR_USD,2005-07-28,1.213775,1.216,1.20762,1.2122,36493
EUR_USD,2005-07-30,1.2124,1.2134,1.2122,1.2123,129
EUR_USD,2005-07-31,1.2123,1.22496,1.2119,1.218055,40199
EUR_USD,2005-08-01,1.217955,1.22536,1.21736,1.219025,38519
EUR_USD,2005-08-02,1.219125,1.23446,1.215,1.233655,40365
EUR_USD,2005-08-03,1.233655,1.24028,1.23006,1.238425,41605
EUR_USD,2005-08-04,1.238525,1.2397,1.23126,1.2359,37801
EUR_USD,2005-08-05,1.2359,1.2359,1.2359,1.2359,1
EUR_USD,2005-08-06,1.236,1.23605,1.23455,1.23465,183
EUR_USD,2005-08-07,1.2347,1.23896,1.2316,1.235275,36895
EUR_USD,2005-08-08,1.235275,1.2415,1.23312,1.237105,39755
EUR_USD,2005-08-09,1.237205,1.24256,1.2337,1.238155,40756
EUR_USD,2005-08-10,1.238155,1.24762,1.23776,1.247125,41810
EUR_USD,2005-08-11,1.247025,1.24866,1.2384,1.2443,36780
EUR_USD,2005-08-12,1.2441,1.2441,1.244,1.244,2
EUR_USD,2005-08-13,1.24455,1.2462,1.24385,1.246,299
EUR_USD,2005-08-14,1.2461,1.2463,1.23458,1.236825,31662
EUR_USD,2005-08-15,1.236825,1.23732,1.22962,1.236375,34860
EUR_USD,2005-08-16,1.236375,1.2368,1.22632,1.227215,37714
EUR_USD,2005-08-17,1.227215,1.22948,1.21588,1.217505,36514
EUR_USD,2005-08-18,1.217455,1.21942,1.21258,1.2153,32955
EUR_USD,2005-08-19,1.2153,1.2153,1.2153,1.2153,1
EUR_USD,2005-08-20,1.2156,1.2178,1.2156,1.2166,156
EUR_USD,2005-08-21,1.21655,1.22436,1.2157,1.222875,33907
EUR_USD,2005-08-22,1.222875,1.22555,1.2192,1.223555,35018
EUR_USD,2005-08-23,1.223555,1.228,1.21626,1.227305,35432
EUR_USD,2005-08-24,1.227305,1.23268,1.2257,1.230205,37131
EUR_USD,2005-08-25,1.230205,1.23424,1.22728,1.22897,33890
EUR_USD,2005-08-26,1.22927,1.22927,1.22907,1.22907,3
EUR_USD,2005-08-27,1.22903,1.23018,1.22878,1.22978,77
EUR_USD,2005-08-28,1.22983,1.2345,1.22166,1.2234,25330
EUR_USD,2005-08-29,1.2234,1.2239,1.21718,1.222075,37862
EUR_USD,2005-08-30,1.222075,1.23572,1.21888,1.234675,39490
EUR_USD,2005-08-31,1.234575,1.25268,1.23276,1.250155,39703
EUR_USD,2005-09-01,1.250355,1.25892,1.24666,1.2531,36322
EUR_USD,2005-09-02,1.2531,1.2531,1.2531,1.2531,1
EUR_USD,2005-09-03,1.2534,1.25435,1.2533,1.25395,170
EUR_USD,2005-09-04,1.25395,1.25846,1.25147,1.2543,28255
EUR_USD,2005-09-05,1.2542,1.2545,1.24442,1.246505,38075
EUR_USD,2005-09-06,1.246605,1.25358,1.2408,1.241625,39429
EUR_USD,2005-09-07,1.241625,1.24516,1.2384,1.239705,37079
EUR_USD,2005-09-08,1.239605,1.24594,1.23766,1.2409,37133
EUR_USD,2005-09-09,1.2406,1.2406,1.2405,1.2405,2
EUR_USD,2005-09-10,1.2416,1.2426,1.24035,1.24075,339
EUR_USD,2005-09-11,1.24035,1.2416,1.22716,1.228805,36435
EUR_USD,2005-09-12,1.228705,1.2318,1.22465,1.226635,37970
EUR_USD,2005-09-13,1.226735,1.23324,1.2257,1.228455,37627
EUR_USD,2005-09-14,1.228455,1.22896,1.21935,1.222305,37624
EUR_USD,2005-09-15,1.222305,1.23088,1.22016,1.2237,35068
EUR_USD,2005-09-16,1.2237,1.2237,1.2236,1.2236,5
EUR_USD,2005-09-17,1.2235,1.2236,1.2151,1.2169,1068
EUR_USD,2005-09-18,1.2169,1.2176,1.21002,1.214125,36006
EUR_USD,2005-09-19,1.214025,1.21896,1.21116,1.211555,38570
EUR_USD,2005-09-20,1.211455,1.22392,1.2112,1.221355,38587
EUR_USD,2005-09-21,1.221355,1.2269,1.21328,1.215405,39060
EUR_USD,2005-09-22,1.215405,1.21712,1.2039,1.2039,36602
EUR_USD,2005-09-23,1.2039,1.2039,1.2039,1.2039,2
EUR_USD,2005-09-24,1.20375,1.20405,1.2024,1.20275,245
EUR_USD,2005-09-25,1.2026,1.20808,1.201,1.207205,37631
EUR_USD,2005-09-26,1.207205,1.2084,1.19796,1.201255,39254
EUR_USD,2005-09-27,1.201255,1.20556,1.1993,1.203705,40071
EUR_USD,2005-09-28,1.203705,1.20756,1.2007,1.203205,36934
EUR_USD,2005-09-29,1.203205,1.20902,1.19972,1.2027,37559
EUR_USD,2005-09-30,1.2027,1.2027,1.2027,1.2027,1
EUR_USD,2005-10-01,1.2029,1.2037,1.20225,1.2025,191
EUR_USD,2005-10-02,1.2025,1.2032,1.1903,1.191875,34359
EUR_USD,2005-10-03,1.191775,1.19476,1.1902,1.191755,36233
EUR_USD,2005-10-04,1.191855,1.19856,1.1915,1.197305,34050
EUR_USD,2005-10-05,1.197205,1.22038,1.1971,1.217905,42008
EUR_USD,2005-10-06,1.217905,1.219,1.20924,1.2128,33801
EUR_USD,2005-10-07,1.2129,1.2129,1.2125,1.2125,2
EUR_USD,2005-10-08,1.2127,1.2128,1.21035,1.2115,261
EUR_USD,2005-10-09,1.2115,1.21532,1.20412,1.206685,32011
EUR_USD,2005-10-10,1.206685,1.2072,1.1976,1.199335,36909
EUR_USD,2005-10-11,1.199335,1.20544,1.1954,1.202405,37461
EUR_USD,2005-10-12,1.202405,1.2041,1.19148,1.202605,38900
EUR_USD,2005-10-13,1.202605,1.2108,1.1978,1.2075,38027
EUR_USD,2005-10-14,1.2074,1.2081,1.2074,1.2081,5
EUR_USD,2005-10-15,1.2084,1.2104,1.20725,1.2082,82
EUR_USD,2005-10-16,1.2081,1.2121,1.20128,1.202405,35896
EUR_USD,2005-10-17,1.202505,1.2027,1.19162,1.195905,37962
EUR_USD,2005-10-18,1.195805,1.20036,1.18756,1.199155,40239
EUR_USD,2005-10-19,1.199255,1.2024,1.19488,1.202205,36113
EUR_USD,2005-10-20,1.202205,1.20776,1.193,1.1953,37825
EUR_USD,2005-10-21,1.1953,1.1953,1.195,1.195,2
EUR_USD,2005-10-22,1.1953,1.1953,1.19295,1.19365,159
EUR_USD,2005-10-23,1.19365,1.2021,1.19235,1.198505,33992
EUR_USD,2005-10-24,1.198505,1.2117,1.19362,1.210615,38892
EUR_USD,2005-10-25,1.210515,1.21364,1.20488,1.206915,38650
EUR_USD,2005-10-26,1.206915,1.21732,1.20442,1.214115,39373
EUR_USD,2005-10-27,1.214115,1.21704,1.20498,1.207,35244
EUR_USD,2005-10-28,1.20689,1.207,1.20689,1.20689,305
EUR_USD,2005-10-29,1.20539,1.2068,1.20479,1.2061,355
EUR_USD,2005-10-30,1.2061,1.20892,1.19688,1.199215,35805
EUR_USD,2005-10-31,1.199215,1.20314,1.19736,1.201835,37804
EUR_USD,2005-11-01,1.201835,1.20846,1.19888,1.207375,35827
EUR_USD,2005-11-02,1.207375,1.20822,1.1936,1.194505,35934
EUR_USD,2005-11-03,1.194505,1.19938,1.18035,1.18125,36324
EUR_USD,2005-11-04,1.18115,1.18115,1.18115,1.18115,4
EUR_USD,2005-11-05,1.18115,1.1827,1.18085,1.1814,487
EUR_USD,2005-11-06,1.1814,1.19776,1.1777,1.180505,36843
EUR_USD,2005-11-07,1.180505,1.1805,1.171,1.178055,39756
EUR_USD,2005-11-08,1.178055,1.1793,1.17182,1.176505,38135
EUR_USD,2005-11-09,1.176505,1.17977,1.1678,1.168705,36427
EUR_USD,2005-11-10,1.168605,1.1734,1.1671,1.1734,28404
EUR_USD,2005-11-11,1.1734,1.1734,1.1734,1.1734,4
EUR_USD,2005-11-12,1.1734,1.1734,1.17145,1.17215,513
EUR_USD,2005-11-13,1.1721,1.1773,1.1661,1.168835,36725
EUR_USD,2005-11-14,1.168835,1.17284,1.16402,1.171875,37714
EUR_USD,2005-11-15,1.171875,1.1737,1.16468,1.166935,37507
EUR_USD,2005-11-16,1.167035,1.1763,1.16432,1.174905,38979
EUR_USD,2005-11-17,1.174905,1.17952,1.16638,1.1774,36535
EUR_USD,2005-11-18,1.1774,1.1774,1.1774,1.1774,6
EUR_USD,2005-11-19,1.1774,1.1777,1.1769,1.1771,223
EUR_USD,2005-11-20,1.177,1.18366,1.17192,1.172725,37034
EUR_USD,2005-11-21,1.172725,1.1824,1.16858,1.181375,39149
EUR_USD,2005-11-22,1.181475,1.1866,1.17638,1.182205,32554
EUR_USD,2005-11-23,1.182205,1.1824,1.1772,1.17895,24427
EUR_USD,2005-11-24,1.17885,1.1791,1.1712,1.1724,28752
EUR_USD,2005-11-26,1.1707,1.1727,1.1707,1.1715,232
EUR_USD,2005-11-27,1.1714,1.1902,1.16812,1.185135,35903
EUR_USD,2005-11-28,1.185005,1.1862,1.17396,1.177875,36674
EUR_USD,2005-11-29,1.177875,1.18026,1.17548,1.178775,35046
EUR_USD,2005-11-30,1.178775,1.1806,1.16912,1.173805,34627
EUR_USD,2005-12-01,1.173705,1.17512,1.16608,1.1718,31393
EUR_USD,2005-12-02,1.1718,1.1718,1.1718,1.1718,1
EUR_USD,2005-12-03,1.1717,1.1724,1.169,1.17,531
EUR_USD,2005-12-04,1.17,1.18198,1.16892,1.178805,35358
EUR_USD,2005-12-05,1.178805,1.1807,1.17568,1.178005,35596
EUR_USD,2005-12-06,1.178005,1.1802,1.17042,1.172505,33666
EUR_USD,2005-12-07,1.172405,1.18488,1.1705,1.181655,34878
EUR_USD,2005-12-08,1.181655,1.18372,1.17672,1.1812,33079
EUR_USD,2005-12-09,1.1812,1.1812,1.1812,1.1812,1
EUR_USD,2005-12-10,1.1815,1.1815,1.1777,1.1783,839
EUR_USD,2005-12-11,1.1783,1.19824,1.178,1.195275,35907
EUR_USD,2005-12-12,1.195375,1.19875,1.19068,1.194355,37595
EUR_USD,2005-12-13,1.194355,1.20615,1.19306,1.200105,38617
EUR_USD,2005-12-14,1.200005,1.20398,1.19362,1.197805,38053
EUR_USD,2005-12-15,1.197805,1.20272,1.19376,1.2013,35195
EUR_USD,2005-12-16,1.2013,1.2013,1.2013,1.2013,1
EUR_USD,2005-12-17,1.201,1.2029,1.201,1.2024,525
EUR_USD,2005-12-18,1.2024,1.2039,1.19762,1.200605,33197
EUR_USD,2005-12-19,1.200605,1.2012,1.184,1.186005,35285
EUR_USD,2005-12-20,1.185905,1.19112,1.18011,1.1836,35147
EUR_USD,2005-12-21,1.1836,1.18971,1.18104,1.1868,31092
EUR_USD,2005-12-22,1.1868,1.1885,1.1831,1.1868,23023
EUR_USD,2005-12-23,1.1868,1.1868,1.1868,1.1868,1
EUR_USD,2005-12-25,1.1862,1.1874,1.18335,1.1846,3998
EUR_USD,2005-12-26,1.1846,1.1878,1.1827,1.1827,27251
EUR_USD,2005-12-27,1.1827,1.19321,1.1814,1.18335,40669
EUR_USD,2005-12-28,1.18335,1.1882,1.18203,1.184,38440
EUR_USD,2005-12-29,1.1841,1.18885,1.17785,1.1848,29958
EUR_USD,2005-12-31,1.185,1.185,1.1844,1.1844,3
EUR_USD,2006-01-01,1.1845,1.18665,1.18015,1.1822,3054
EUR_USD,2006-01-02,1.1822,1.203,1.1812,1.201775,37669
